Year,Month,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp,date
1983,5,2.556,345.96,1638.59,1,191.324,350.113,2,3,0.109,1983/5/1
1983,6,2.167,345.52,1633.71,1,192.057,351.848,2,3,0.118,1983/6/1
1983,7,1.741,344.15,1633.22,1,192.818,353.725,2,3,0.137,1983/7/1
1983,8,1.13,363.3807986,1631.35,1,193.602,355.633,2,3,0.176,1983/8/1
1983,9,0.428,340.17,1648.4,1,194.392,357.465,2,3,0.149,1983/9/1
1983,10,0.002,340.3,1663.79,1,195.171,359.174,2,3,0.093,1983/10/1
1983,11,-0.176,341.53,1658.23,1,195.921,360.758,2,3,0.232,1983/11/1
1983,12,-0.176,343.07,1654.31,1,196.609,362.174,2,3,0.078,1983/12/1
1984,1,-0.339,344.05,1658.98,1,197.219,363.359,1,3,0.089,1984/1/1
1984,2,-0.565,344.77,1656.48,1,197.759,364.296,1,3,0.013,1984/2/1
1984,3,0.131,345.46,1655.77,1,198.249,365.044,2,3,0.049,1984/3/1
1984,4,0.331,346.77,1657.68,1,198.723,365.692,1,3,-0.019,1984/4/1
1984,5,0.121,347.55,1649.33,1,199.233,366.317,2,3,0.065,1984/5/1
1984,6,-0.142,346.98,1634.13,1,199.858,367.029,2,3,-0.016,1984/6/1
1984,7,-0.138,345.55,1629.89,1,200.671,367.893,2,3,-0.024,1984/7/1
1984,8,-0.179,343.2,1643.67,1,201.71,368.843,2,3,0.034,1984/8/1
1984,9,-0.082,341.35,1663.6,1,202.972,369.8,2,3,0.025,1984/9/1
1984,10,0.016,363.3807986,1674.65,1,204.407,370.782,2,3,-0.035,1984/10/1
1984,11,-0.351,343.06,1677.1,1,205.893,371.77,1,3,-0.123,1984/11/1
1984,12,-0.611,346.78,1672.15,1,207.308,372.701,2,2,-0.282,1984/12/1
1985,1,-0.561,363.3807986,1663.42,1,208.537,373.623,1,2,-0.001,1985/1/1
1985,2,-0.602,346.06,1666.21,3,209.543,374.681,1,2,-0.155,1985/2/1
1985,3,-0.737,347.66,1678.34,1,210.368,376.004,1,2,-0.032,1985/3/1
1985,4,-0.484,348.2,1675.24,1,211.111,377.635,1,2,-0.042,1985/4/1
1985,5,-0.731,348.92,1666.83,1,211.823,379.539,1,2,0.001,1985/5/1
1985,6,-0.088,348.4,1659.4,1,212.512,381.642,1,2,-0.049,1985/6/1
1985,7,-0.156,346.66,1654.25,1,213.165,383.905,1,2,-0.042,1985/7/1
1985,8,-0.392,363.3807986,1654.41,1,213.803,386.223,1,2,0.013,1985/8/1
